	model_id	variable	relative_importance	scaled_importance	percentage
0	GBM_1_AutoML_20190415_201144	supply_area	5.355707768835502e+20	1.0	0.2828908289899341
1	GBM_1_AutoML_20190415_201144	city	3.4799806901901066e+20	0.6497704580596941	0.18381410353367608
2	GBM_1_AutoML_20190415_201144	exclusive_use_area	2.3511374347003914e+20	0.4389965875997752	0.12418810858985264
3	GBM_1_AutoML_20190415_201144	apartment_building_count_in_sites	1.1646203962873138e+20	0.2174540595855809	0.06151575918339151
4	GBM_1_AutoML_20190415_201144	total_parking_capacity_in_site	1.1368426863669019e+20	0.21226749767455794	0.060048528384774605
5	GBM_1_AutoML_20190415_201144	room_count	8.192512155898505e+19	0.15296787109203705	0.04327320786205174
6	GBM_1_AutoML_20190415_201144	floor	7.808684961172134e+19	0.14580117695387226	0.041245815816188997
7	GBM_1_AutoML_20190415_201144	total_household_count_in_sites	7.225703665111348e+19	0.13491594345675886	0.03816648308844159
8	GBM_1_AutoML_20190415_201144	heat_fuel_gas	6.984222324349416e+19	0.130407083915036	0.036890968074884435
9	GBM_1_AutoML_20190415_201144	heat_fuel_cogeneration	5.1422386418339545e+19	0.09601417522733952	0.02716152962484687
10	GBM_1_AutoML_20190415_201144	bathroom_count	5.025567703792039e+19	0.09383573414956421	0.026545268622449287
11	GBM_1_AutoML_20190415_201144	total_household_count_of_area_type	4.750154554587637e+19	0.08869331112926777	0.02509052431122071
12	GBM_1_AutoML_20190415_201144	heat_type_district	3.301082891574208e+19	0.06163672541625561	0.01743646434922949
13	GBM_1_AutoML_20190415_201144	heat_type_individual	1.934912646076485e+19	0.03612804748861783	0.010220293303842805
14	GBM_1_AutoML_20190415_201144	front_door_structure_stairway	1.4116900268876497e+19	0.026358608195581126	0.007456608523468815
15	GBM_1_AutoML_20190415_201144	front_door_structure_mixed	1.1968775605597503e+19	0.022347701036346663	0.006321959672191318
16	GBM_1_AutoML_20190415_201144	heat_type_central	8.398264426511204e+18	0.01568096092804042	0.004436000036292121
17	GBM_1_AutoML_20190415_201144	front_door_structure_corridor	6.24293961133772e+18	0.011656609883879324	0.0032975480332628816
18	XGBoost_1_AutoML_20190415_201144	exclusive_use_area	6.659192701390925e+20	1.0	0.23969571593578698
19	XGBoost_1_AutoML_20190415_201144	supply_area	5.3449107405726024e+20	0.8026364426210695	0.19238851675021046
20	XGBoost_1_AutoML_20190415_201144	city	4.445413120184869e+20	0.6675603664775075	0.16001135997318247
21	XGBoost_1_AutoML_20190415_201144	total_parking_capacity_in_site	1.9378264398510214e+20	0.29100020479153005	0.06975150242496642
22	XGBoost_1_AutoML_20190415_201144	apartment_building_count_in_sites	1.7007986489471638e+20	0.2554061318261466	0.06121975562245819
23	XGBoost_1_AutoML_20190415_201144	total_household_count_in_sites	1.678652901467011e+20	0.25208054140202096	0.06042262584483821
