	model_id	variable	relative_importance	scaled_importance	percentage
0	GBM_1_AutoML_20190416_015849	supply_area	5.142440512168814e+20	1.0	0.26965304008383767
1	GBM_1_AutoML_20190416_015849	city	3.556079913049879e+20	0.691516003857497	0.18646939270680088
2	GBM_1_AutoML_20190416_015849	exclusive_use_area	2.8717862730904633e+20	0.5584481271674047	0.15058723521981623
3	GBM_1_AutoML_20190416_015849	apartment_building_count_in_sites	1.3659960388754185e+20	0.2656318601339177	0.07162843862823566
4	GBM_1_AutoML_20190416_015849	total_parking_capacity_in_site	1.1062438055314771e+20	0.21512038941699316	0.05800786699031123
5	GBM_1_AutoML_20190416_015849	total_household_count_in_sites	8.393671766441984e+19	0.16322350733235744	0.04401371496531675
6	GBM_1_AutoML_20190416_015849	floor	7.956222709042931e+19	0.1547168643023818	0.041719872811375826
7	GBM_1_AutoML_20190416_015849	heat_fuel_cogeneration	6.286668838041813e+19	0.12225068667620664	0.03296526931457583
8	GBM_1_AutoML_20190416_015849	total_household_count_of_area_type	5.228192743433018e+19	0.10166753958672509	0.02741496112740433
9	GBM_1_AutoML_20190416_015849	heat_fuel_gas	4.359336664931867e+19	0.08477174708421324	0.0228589593144763
10	GBM_1_AutoML_20190416_015849	bathroom_count	4.257647232525376e+19	0.08279429236858049	0.02232573263877781
11	GBM_1_AutoML_20190416_015849	heat_type_district	3.5194944992644694e+19	0.06844015970502942	0.01845509712828455
12	GBM_1_AutoML_20190416_015849	heat_type_individual	3.422536045489973e+19	0.06655470369352945	0.017946678182839237
13	GBM_1_AutoML_20190416_015849	front_door_structure_stairway	2.4499676530895487e+19	0.047642119481831	0.01284684235431316
14	GBM_1_AutoML_20190416_015849	room_count	2.002224967831257e+19	0.038935306360730705	0.010499023726766617
15	GBM_1_AutoML_20190416_015849	front_door_structure_mixed	1.0703568675027288e+19	0.020814180834370175	0.005612607138842666
16	GBM_1_AutoML_20190416_015849	heat_type_central	7.370545410470838e+18	0.014332777196021126	0.0038648769437513992
17	GBM_1_AutoML_20190416_015849	front_door_structure_corridor	5.969837415672578e+18	0.01160895765647819	0.003130390724273887
18	XGBoost_1_AutoML_20190416_015849	exclusive_use_area	6.66503260347023e+20	1.0	0.24313142433565593
19	XGBoost_1_AutoML_20190416_015849	supply_area	5.901882517332301e+20	0.8854994219022146	0.21529273569548538
20	XGBoost_1_AutoML_20190416_015849	city	4.536478015712626e+20	0.6806385333134986	0.1654846160622427
21	XGBoost_1_AutoML_20190416_015849	total_parking_capacity_in_site	1.6651456210221085e+20	0.24983307960941262	0.06074227249159981
22	XGBoost_1_AutoML_20190416_015849	total_household_count_in_sites	1.5735965885344095e+20	0.23609735798067927	0.05740268692772779
23	XGBoost_1_AutoML_20190416_015849	apartment_building_count_in_sites	1.5518922290021112e+20	0.2328409058635512	0.05661094108620958
24	XGBoost_1_AutoML_20190416_015849	heat_fuel_cogeneration	1.1600179285743737e+20	0.17404534945116343	0.04231589371105834
25	XGBoost_1_AutoML_20190416_015849	floor	1.0686420911582819e+20	0.16033561345249542	0.038982626070436364
26	XGBoost_1_AutoML_20190416_015849	total_household_count_of_area_type	9.142995098036444e+19	0.13717855023358824	0.033352416306592636
27	XGBoost_1_AutoML_20190416_015849	bathroom_count	6.6195521406161125e+19	0.09931762580080347	0.02414723582258504
28	XGBoost_1_AutoML_20190416_015849	heat_type_individual	5.476501171794136e+19	0.08216765764870722	0.01997753963845474
29	XGBoost_1_AutoML_20190416_015849	heat_type_district	3.71797701889664e+19	0.055783328306013534	0.013562680065224583
30	XGBoost_1_AutoML_20190416_015849	front_door_structure_stairway	2.155443232575796e+19	0.0323395752250865	0.00786276698688537
31	XGBoost_1_AutoML_20190416_015849	room_count	1.6986735568534634e+19	0.02548635029885718	0.006196532649278616
32	XGBoost_1_AutoML_20190416_015849	heat_fuel_gas	1.591282496949977e+19	0.023875089465000617	0.005804784507766813
33	XGBoost_1_AutoML_20190416_015849	front_door_structure_corridor	9.108252619670815e+18	0.013665728529112511	0.003322568041867533
34	XGBoost_1_AutoML_20190416_015849	front_door_structure_mixed	8.260484624434594e+18	0.012393764765882274	0.003013313680410025
35	XGBoost_1_AutoML_20190416_015849	heat_type_central	7.667404204121522e+18	0.011503926027502694	0.0027969659205187543
36	XGBoost_grid_1_AutoML_20190416_020809_model_4	supply_area	7.233163807525343e+20	1.0	0.23315725739498758
37	XGBoost_grid_1_AutoML_20190416_020809_model_4	exclusive_use_area	6.043663926007505e+20	0.835549157578833	0.19481434999977298
38	XGBoost_grid_1_AutoML_20190416_020809_model_4	city	4.88769369555916e+20	0.6757338594314747	0.1575522533939727
39	XGBoost_grid_1_AutoML_20190416_020809_model_4	total_parking_capacity_in_site	2.193514614335912e+20	0.3032579757220197	0.07070679790250184
40	XGBoost_grid_1_AutoML_20190416_020809_model_4	apartment_building_count_in_sites	1.9567792055641126e+20	0.2705288111307932	0.06307575564958233
41	XGBoost_grid_1_AutoML_20190416_020809_model_4	total_household_count_in_sites	1.712772946300156e+20	0.2367944362767226	0.05521034132867279
42	XGBoost_grid_1_AutoML_20190416_020809_model_4	floor	1.3957132873072273e+20	0.19296027636691085	0.04499008882388777
43	XGBoost_grid_1_AutoML_20190416_020809_model_4	total_household_count_of_area_type	1.2550112472067788e+20	0.17350792552231045	0.040454632051075676
44	XGBoost_grid_1_AutoML_20190416_020809_model_4	heat_fuel_cogeneration	1.1192280702852792e+20	0.15473561778330536	0.03607773226367454
