	model_id	mean_residual_deviance	rmse	mse	mae	rmsle	system_date	runtime
37	XGBoost_2_AutoML_20190416_023643	26462433984366080	162672781.94082156	26462433984366080	95064362.3131019	0.3260678866695132	2019-04-16	1500
38	GBM_grid_1_AutoML_20190416_023844_model_57	26470402339927000	162697272.0727886	26470402339927000	95492859.30934404	0.32677317147372026	2019-04-16	1500
39	GBM_1_AutoML_20190416_021340	26478298633983372	162721537.09322983	26478298633983372	97863201.38082694	0.3335275140291422	2019-04-16	1500
40	XGBoost_grid_1_AutoML_20190416_023844_model_9	26531906190767484	162886175.5667665	26531906190767484	98835793.50324748	0.33497712335227225	2019-04-16	1500
41	XGBoost_grid_1_AutoML_20190416_023844_model_4	26582238344449570	163040603.36140063	26582238344449570	99214116.59484884	0.33728512417795153	2019-04-16	1500
42	XGBoost_grid_1_AutoML_20190416_015849_model_3	26628202489753070	163181501.67758927	26628202489753070	95208478.14199328	0.32646039058643644	2019-04-16	1500
43	XGBoost_grid_1_AutoML_20190416_022142_model_20	26664820967957708	163293664.81268558	26664820967957708	94962004.59932809	0.3231620456822121	2019-04-16	1500
44	XGBoost_grid_1_AutoML_20190416_022142_model_2	26722293557990950	163469549.32950342	26722293557990950	98778375.09070548	0.33505927413311354	2019-04-16	1500
45	GBM_grid_1_AutoML_20190416_021340_model_7	26741315355422980	163527720.44954023	26741315355422980	98155567.38730218	0.3585041456238243	2019-04-16	1500
46	GBM_4_AutoML_20190416_023643	26786040657774400	163664414.7570705	26786040657774400	97966317.246487	0.3331412341024153	2019-04-16	1500
47	GBM_2_AutoML_20190416_020809	26790696006005864	163678636.37630248	26790696006005864	99095111.83379896	0.3348152369491441	2019-04-16	1500
48	GBM_grid_1_AutoML_20190416_015849_model_7	26802014565231010	163713208.27969566	26802014565231010	97371084.02584428	0.3566645052432887	2019-04-16	1500
49	XGBoost_grid_1_AutoML_20190416_022142_model_5	26804418077306000	163720548.7326072	26804418077306000	98964168.75162372	0.3355735316611883	2019-04-16	1500
50	GBM_grid_1_AutoML_20190416_022142_model_30	26835445213947980	163815277.71837392	26835445213947980	97936298.37825678	0.3452055646248053	2019-04-16	1500
51	DRF_1_AutoML_20190416_021340	26864263925279030	163903215.11574757	26864263925279030	98306040.955153	0.3352818522137272	2019-04-16	1500
52	GBM_2_AutoML_20190416_022142	26888807261380156	163978069.4525343	26888807261380156	99314990.16468146	0.3343451611924603	2019-04-16	1500
53	GBM_4_AutoML_20190416_015849	26926564934872772	164093159.3177265	26926564934872772	97925160.3329406	0.33285590174880264	2019-04-16	1500
54	XGBoost_2_AutoML_20190416_020809	26952706603932320	164172794.9568147	26952706603932320	95513126.26830909	0.32517140178330245	2019-04-16	1500
55	GBM_grid_1_AutoML_20190416_023844_model_42	26975114013676020	164241024.1494981	26975114013676020	97747667.70423488	0.3321945229891443	2019-04-16	1500
56	GBM_2_AutoML_20190416_023643	26982016113503264	164262034.91221964	26982016113503264	99500759.57207468	0.3341620145365198	2019-04-16	1500
57	GBM_2_AutoML_20190416_023844	26985064640058304	164271314.1119237	26985064640058304	99733975.81989688	0.3346139591471576	2019-04-16	1500
58	GBM_4_AutoML_20190416_020809	26988357514766430	164281336.47729567	26988357514766430	97566053.13398948	0.33274044796307234	2019-04-16	1500
59	XGBoost_grid_1_AutoML_20190416_021340_model_10	27011332400653532	164351247.0310266	27011332400653532	97007786.637402	0.32867362308250625	2019-04-16	1500
60	GBM_2_AutoML_20190416_021340	27020692200376308	164379719.55316237	27020692200376308	100566446.39001158	0.3368220511385198	2019-04-16	1500
61	XGBoost_grid_1_AutoML_20190416_022142_model_13	27049739934073976	164468051.40839353	27049739934073976	99937757.9968645	0.3385009694416158	2019-04-16	1500
62	GBM_4_AutoML_20190416_023844	27058188018989452	164493732.46111673	27058188018989452	98171262.32400525	0.3314965149601815	2019-04-16	1500
63	GBM_3_AutoML_20190416_022142	27073451248343420	164540120.48234138	27073451248343420	99066591.52557604	0.33361146474665543	2019-04-16	1500
64	GBM_4_AutoML_20190416_022142	27124563009725240	164695364.26300904	27124563009725240	97975315.7403629	0.3293218141042152	2019-04-16	1500
65	GBM_4_AutoML_20190416_021340	27128481211098464	164707259.13297948	27128481211098464	97611897.45148912	0.33089964101772645	2019-04-16	1500
66	XRT_1_AutoML_20190416_020809	27150302443024316	164773488.28930068	27150302443024316	97653895.54037158	0.3372920493951284	2019-04-16	1500
67	GBM_3_AutoML_20190416_023643	27153248987269868	164782429.24313825	27153248987269868	99048981.53613059	0.3352160759911942	2019-04-16	1500
68	XGBoost_grid_1_AutoML_20190416_022142_model_11	27197638491367028	164917065.49465105	27197638491367028	97257622.09272116	0.34629795863866764	2019-04-16	1500
69	GBM_3_AutoML_20190416_020809	27200167268118450	164924732.1298975	27200167268118450	99454011.3965044	0.3355094937763093	2019-04-16	1500
70	GBM_grid_1_AutoML_20190416_023844_model_4	27224861854584930	164999581.37699905	27224861854584930	100732691.38188748	0.3409225873140061	2019-04-16	1500
71	DRF_1_AutoML_20190416_020809	27225306112403404	165000927.6107362	27225306112403404	98470437.44886236	0.3374464430076179	2019-04-16	1500
72	GBM_3_AutoML_20190416_021340	27251200422210460	165079376.126185	27251200422210460	99760053.14954758	0.3359700656642713	2019-04-16	1500
73	XGBoost_grid_1_AutoML_20190416_015849_model_4	27252377961065530	165082942.67145085	27252377961065530	96535857.85979845	0.3277680598860774	2019-04-16	1500
74	GBM_grid_1_AutoML_20190416_023844_model_62	27276902949419724	165157206.77409062	27276902949419724	99111825.82637021	0.3493585563975196	2019-04-16	1500
75	XGBoost_grid_1_AutoML_20190416_023844_model_8	27343011126879076	165357222.78412598	27343011126879076	96341931.14356104	0.33383677995906896	2019-04-16	1500
76	GBM_3_AutoML_20190416_023844	27412068519723480	165565903.85620907	27412068519723480	99264567.8982148	0.33562854049511104	2019-04-16	1500
77	XRT_1_AutoML_20190416_015849	27417804068506330	165583223.99478254	27417804068506330	98496229.87690364	0.3367189463546034	2019-04-16	1500
78	GBM_grid_1_AutoML_20190416_023844_model_23	27447021719198280	165671426.98485538	27447021719198280	98345947.11165284	0.3332475516393381	2019-04-16	1500
79	XGBoost_grid_1_AutoML_20190416_020809_model_2	27482846588458908	165779511.96833372	27482846588458908	96750344.31086226	0.3266704325440277	2019-04-16	1500
80	GBM_3_AutoML_20190416_015849	27591064593120148	166105582.66692948	27591064593120148	100130390.09782983	0.33506538389333784	2019-04-16	1500
81	GBM_grid_1_AutoML_20190416_021340_model_12	27598287152839470	166127322.11421296	27598287152839470	98954473.64990582	0.3549969220882689	2019-04-16	1500
82	GBM_grid_1_AutoML_20190416_023844_model_46	27609502227880696	166161073.1425405	27609502227880696	99699496.91944817	0.34618662499997543	2019-04-16	1500
83	XGBoost_grid_1_AutoML_20190416_015849_model_1	27627708837558150	166215850.13938397	27627708837558150	98098056.7525196	0.3345603557609977	2019-04-16	1500
84	XGBoost_grid_1_AutoML_20190416_023844_model_5	27631998267036812	166228752.82885572	27631998267036812	96544148.51332588	0.3279157709068359	2019-04-16	1500
85	GBM_2_AutoML_20190416_015849	27654699672556740	166297022.4404416	27654699672556740	100149145.66231434	0.334040042814968	2019-04-16	1500
86	GBM_grid_1_AutoML_20190416_022142_model_40	27691336549880270	166407140.92213792	27691336549880270	97916993.42680082	0.33077234440484754	2019-04-16	1500
87	GBM_grid_1_AutoML_20190416_023844_model_24	27740861235456280	166555880.21879107	27740861235456280	101338666.10074228	0.3451748200397314	2019-04-16	1500
88	GBM_grid_1_AutoML_20190416_023844_model_31	27762401263216172	166620530.73740995	27762401263216172	99333241.43187544	0.3346974483546623	2019-04-16	1500
89	XGBoost_grid_1_AutoML_20190416_022142_model_18	27797263597789336	166725113.87847164	27797263597789336	96991345.26674132	0.32795862127509623	2019-04-16	1500
90	GBM_grid_1_AutoML_20190416_023844_model_58	27804680035801564	166747353.90944457	27804680035801564	100227037.75182548	0.3595881576938217	2019-04-16	1500
91	DRF_1_AutoML_20190416_015849	27815046156391240	166778434.32647768	27815046156391240	98831417.71212693	0.33805682218344474	2019-04-16	1500
92	XRT_1_AutoML_20190416_023643	27893675543746092	167013998.04730767	27893675543746092	97568453.73934804	0.33648027781019785	2019-04-16	1500
93	XGBoost_grid_1_AutoML_20190416_022142_model_21	27895935030186500	167020762.272798	27895935030186500	95142453.77917132	0.32451245071367946	2019-04-16	1500
94	DRF_1_AutoML_20190416_023844	27943008169539290	167161622.89694154	27943008169539290	100050997.51738459	0.3402767267675878	2019-04-16	1500
95	GBM_grid_1_AutoML_20190416_022142_model_18	27983794095565364	167283573.896439	27983794095565364	101691094.64274092	0.3615473825343341	2019-04-16	1500
96	GBM_grid_1_AutoML_20190416_023844_model_28	28033600291921732	167432375.2800567	28033600291921732	101400723.58531654	0.3392830454227415	2019-04-16	1500
97	XRT_1_AutoML_20190416_021340	28052843741775980	167489831.75636658	28052843741775980	99508628.88557936	0.33940276234900696	2019-04-16	1500
98	XGBoost_3_AutoML_20190416_021340	28088450936619604	167596094.6341519	28088450936619604	102769021.02486002	0.3448181642732311	2019-04-16	1500
99	GBM_grid_1_AutoML_20190416_023844_model_25	28101577692211416	167635251.93768588	28101577692211416	100803468.88996978	0.3488546113303787	2019-04-16	1500
100	XRT_1_AutoML_20190416_023844	28114222173877190	167672961.96428686	28114222173877190	98334012.80945349	0.3360891860175953	2019-04-16	1500
101	GBM_grid_1_AutoML_20190416_015849_model_8	28130022164919252	167720070.84698972	28130022164919252	101269518.36952232	0.3655934411225064	2019-04-16	1500
102	XGBoost_grid_1_AutoML_20190416_023643_model_2	28264810113452148	168121414.79731888	28264810113452148	98608153.32586786	0.33246032699672856	2019-04-16	1500
103	XGBoost_grid_1_AutoML_20190416_020809_model_1	28391573749881816	168497993.31114247	28391573749881816	103181590.63157897	0.3434223244899615	2019-04-16	1500
104	GBM_grid_1_AutoML_20190416_020809_model_9	28431104171210812	168615254.85913432	28431104171210812	101660845.05689228	0.3656319179543465	2019-04-16	1500
105	XGBoost_3_AutoML_20190416_023844	28449983068014012	168671227.74206042	28449983068014012	103341568.23113102	0.3470087325914794	2019-04-16	1500
106	XGBoost_3_AutoML_20190416_023643	28477752214381880	168753525.04283246	28477752214381880	103292814.50481524	0.3465842203464365	2019-04-16	1500
107	DRF_1_AutoML_20190416_023643	28566808776465212	169017184.85546142	28566808776465212	99831987.6297586	0.3399877868392633	2019-04-16	1500
108	XGBoost_grid_1_AutoML_20190416_023844_model_2	28572448732066764	169033868.59463036	28572448732066764	102780572.59798431	0.34318348244770197	2019-04-16	1500
109	GBM_grid_1_AutoML_20190416_023844_model_51	28609618217530670	169143779.71870756	28609618217530670	103747183.91384986	0.3485264975064597	2019-04-16	1500
110	XGBoost_3_AutoML_20190416_022142	28634653651051844	169217769.90331674	28634653651051844	103440505.21657334	0.3471177234819573	2019-04-16	1500
111	DRF_1_AutoML_20190416_022142	28638175729316896	169228176.52305096	28638175729316896	100314403.38066442	0.3422193437289053	2019-04-16	1500
112	XGBoost_3_AutoML_20190416_015849	28664642725816670	169306357.60601747	28664642725816670	103296865.01052631	0.3474103924403393	2019-04-16	1500
113	GBM_grid_1_AutoML_20190416_023844_model_26	28725369961375028	169485603.99448392	28725369961375028	103636224.8159528	0.3453208781352607	2019-04-16	1500
114	GBM_grid_1_AutoML_20190416_022142_model_34	28780440164101428	169647988.97747484	28780440164101428	105325721.89990903	0.3548024333694167	2019-04-16	1500
115	XGBoost_grid_1_AutoML_20190416_022142_model_12	28794804127145704	169690318.30704337	28794804127145704	100130208.50436729	0.3349127881522651	2019-04-16	1500
116	XRT_1_AutoML_20190416_022142	28795468443692804	169692275.73373163	28795468443692804	99609583.48232313	0.3415656420716391	2019-04-16	1500
117	GBM_grid_1_AutoML_20190416_021340_model_14	28832520217998970	169801414.06360245	28832520217998970	100516950.00428955	0.3364121249297233	2019-04-16	1500
118	XGBoost_grid_1_AutoML_20190416_021340_model_12	28884359675879788	169953992.82123318	28884359675879788	103624340.4550952	0.34657457437351624	2019-04-16	1500
119	GBM_grid_1_AutoML_20190416_022142_model_20	28913079616069284	170038465.10736707	28913079616069284	104985298.07527225		2019-04-16	1500
120	GBM_grid_1_AutoML_20190416_023844_model_61	28936767653939484	170108105.78552535	28936767653939484	101754659.49736236	0.3635603563242129	2019-04-16	1500
121	XGBoost_grid_1_AutoML_20190416_022142_model_8	28999977656649948	170293798.05691677	28999977656649948	102525701.56326988	0.34334824565962924	2019-04-16	1500
122	XGBoost_3_AutoML_20190416_020809	29085379692815670	170544362.82919368	29085379692815670	104097740.65845464	0.3480326028133832	2019-04-16	1500
123	XGBoost_grid_1_AutoML_20190416_022142_model_4	29166634599381640	170782418.88257012	29166634599381640	100826006.89182529	0.3484239746625054	2019-04-16	1500
124	XGBoost_grid_1_AutoML_20190416_021340_model_4	29246190974081480	171015177.61322087	29246190974081480	104354659.0387458	0.3471464006335264	2019-04-16	1500
125	GBM_grid_1_AutoML_20190416_015849_model_11	29290313638464400	171144131.18323514	29290313638464400	105498600.38741018	0.3511664443999445	2019-04-16	1500
126	GBM_grid_1_AutoML_20190416_015849_model_6	29408322597900150	171488549.46584672	29408322597900150	102961153.8471249	0.3504176717388723	2019-04-16	1500
127	GBM_grid_1_AutoML_20190416_020809_model_1	29441191664619380	171584357.28416324	29441191664619380	103396260.90152606	0.3426773232635252	2019-04-16	1500
128	GBM_grid_1_AutoML_20190416_023844_model_16	29489480452234268	171725014.05512905	29489480452234268	103888735.47602722	0.36930607586780817	2019-04-16	1500
129	XGBoost_grid_1_AutoML_20190416_022142_model_17	29529007485815636	171840063.68078324	29529007485815636	104514023.73393056	0.3460508193492059	2019-04-16	1500
130	GBM_grid_1_AutoML_20190416_023844_model_50	29586673443118536	172007771.46140385	29586673443118536	103671873.8868415	0.3743476158261683	2019-04-16	1500
