	model_id	mean_residual_deviance	rmse	mse	mae	rmsle	system_date	runtime
0	GBM_1_AutoML_20190416_015849	25146739460939084	158577235.00218776	25146739460939084	96028946.2887346	0.3325625379269681	2019-04-16	500
1	XGBoost_grid_1_AutoML_20190416_021340_model_7	25287291314391604	159019782.77683443	25287291314391604	94756821.10638298	0.3265109694820456	2019-04-16	500
2	XGBoost_1_AutoML_20190416_015849	25430683883193010	159470009.35346118	25430683883193010	94624321.24165732	0.3254745865205184	2019-04-16	500
3	XGBoost_1_AutoML_20190416_021340	25444619375119092	159513696.5126164	25444619375119092	94909111.0844345	0.3247477245623427	2019-04-16	500
4	XGBoost_grid_1_AutoML_20190416_020809_model_4	25650591781436650	160158021.2834707	25650591781436650	94959937.13863382	0.3256110044640297	2019-04-16	500
5	GBM_1_AutoML_20190416_020809	25964562050560844	161135229.07967967	25964562050560844	97608203.53054428	0.334991125349722	2019-04-16	500
6	GBM_grid_1_AutoML_20190416_021340_model_9	25998652512830424	161240976.53149593	25998652512830424	95539592.52258098	0.32993690143952065	2019-04-16	500
7	XGBoost_1_AutoML_20190416_020809	26088676862485030	161519896.18150768	26088676862485030	95505214.75117579	0.3253468369950239	2019-04-16	500
8	XGBoost_grid_1_AutoML_20190416_021340_model_6	26163254415399372	161750593.24589622	26163254415399372	94258641.51847704	0.32168225280342155	2019-04-16	500
9	XGBoost_2_AutoML_20190416_021340	26203618972139588	161875319.21864924	26203618972139588	95122340.0206047	0.325948763409034	2019-04-16	500
10	XGBoost_grid_1_AutoML_20190416_020809_model_7	26209289749989464	161892834.15268713	26209289749989464	94906747.54580069	0.3272081282103748	2019-04-16	500
11	XGBoost_grid_1_AutoML_20190416_021340_model_8	26235333407713864	161973249.04969296	26235333407713864	95147860.00985442	0.32372215750963346	2019-04-16	500
12	XGBoost_2_AutoML_20190416_015849	26397458426429430	162472946.7524653	26397458426429430	94996162.43673012	0.3265386957777082	2019-04-16	500
13	GBM_1_AutoML_20190416_021340	26478298633983372	162721537.09322983	26478298633983372	97863201.38082694	0.3335275140291422	2019-04-16	500
14	XGBoost_grid_1_AutoML_20190416_015849_model_3	26628202489753070	163181501.67758927	26628202489753070	95208478.14199328	0.32646039058643644	2019-04-16	500
15	GBM_grid_1_AutoML_20190416_021340_model_7	26741315355422980	163527720.44954023	26741315355422980	98155567.38730218	0.3585041456238243	2019-04-16	500
16	GBM_2_AutoML_20190416_020809	26790696006005864	163678636.37630248	26790696006005864	99095111.83379896	0.3348152369491441	2019-04-16	500
17	GBM_grid_1_AutoML_20190416_015849_model_7	26802014565231010	163713208.27969566	26802014565231010	97371084.02584428	0.3566645052432887	2019-04-16	500
18	DRF_1_AutoML_20190416_021340	26864263925279030	163903215.11574757	26864263925279030	98306040.955153	0.3352818522137272	2019-04-16	500
19	GBM_4_AutoML_20190416_015849	26926564934872772	164093159.3177265	26926564934872772	97925160.3329406	0.33285590174880264	2019-04-16	500
20	XGBoost_2_AutoML_20190416_020809	26952706603932320	164172794.9568147	26952706603932320	95513126.26830909	0.32517140178330245	2019-04-16	500
21	GBM_4_AutoML_20190416_020809	26988357514766430	164281336.47729567	26988357514766430	97566053.13398948	0.33274044796307234	2019-04-16	500
22	XGBoost_grid_1_AutoML_20190416_021340_model_10	27011332400653532	164351247.0310266	27011332400653532	97007786.637402	0.32867362308250625	2019-04-16	500
23	GBM_2_AutoML_20190416_021340	27020692200376308	164379719.55316237	27020692200376308	100566446.39001158	0.3368220511385198	2019-04-16	500
24	GBM_4_AutoML_20190416_021340	27128481211098464	164707259.13297948	27128481211098464	97611897.45148912	0.33089964101772645	2019-04-16	500
25	XRT_1_AutoML_20190416_020809	27150302443024316	164773488.28930068	27150302443024316	97653895.54037158	0.3372920493951284	2019-04-16	500
26	GBM_3_AutoML_20190416_020809	27200167268118450	164924732.1298975	27200167268118450	99454011.3965044	0.3355094937763093	2019-04-16	500
27	DRF_1_AutoML_20190416_020809	27225306112403404	165000927.6107362	27225306112403404	98470437.44886236	0.3374464430076179	2019-04-16	500
28	GBM_3_AutoML_20190416_021340	27251200422210460	165079376.126185	27251200422210460	99760053.14954758	0.3359700656642713	2019-04-16	500
29	XGBoost_grid_1_AutoML_20190416_015849_model_4	27252377961065530	165082942.67145085	27252377961065530	96535857.85979845	0.3277680598860774	2019-04-16	500
30	XRT_1_AutoML_20190416_015849	27417804068506330	165583223.99478254	27417804068506330	98496229.87690364	0.3367189463546034	2019-04-16	500
31	XGBoost_grid_1_AutoML_20190416_020809_model_2	27482846588458908	165779511.96833372	27482846588458908	96750344.31086226	0.3266704325440277	2019-04-16	500
32	GBM_3_AutoML_20190416_015849	27591064593120148	166105582.66692948	27591064593120148	100130390.09782983	0.33506538389333784	2019-04-16	500
33	GBM_grid_1_AutoML_20190416_021340_model_12	27598287152839470	166127322.11421296	27598287152839470	98954473.64990582	0.3549969220882689	2019-04-16	500
34	XGBoost_grid_1_AutoML_20190416_015849_model_1	27627708837558150	166215850.13938397	27627708837558150	98098056.7525196	0.3345603557609977	2019-04-16	500
35	GBM_2_AutoML_20190416_015849	27654699672556740	166297022.4404416	27654699672556740	100149145.66231434	0.334040042814968	2019-04-16	500
36	DRF_1_AutoML_20190416_015849	27815046156391240	166778434.32647768	27815046156391240	98831417.71212693	0.33805682218344474	2019-04-16	500
37	XRT_1_AutoML_20190416_021340	28052843741775980	167489831.75636658	28052843741775980	99508628.88557936	0.33940276234900696	2019-04-16	500
38	XGBoost_3_AutoML_20190416_021340	28088450936619604	167596094.6341519	28088450936619604	102769021.02486002	0.3448181642732311	2019-04-16	500
39	GBM_grid_1_AutoML_20190416_015849_model_8	28130022164919252	167720070.84698972	28130022164919252	101269518.36952232	0.3655934411225064	2019-04-16	500
40	XGBoost_grid_1_AutoML_20190416_020809_model_1	28391573749881816	168497993.31114247	28391573749881816	103181590.63157897	0.3434223244899615	2019-04-16	500
41	GBM_grid_1_AutoML_20190416_020809_model_9	28431104171210812	168615254.85913432	28431104171210812	101660845.05689228	0.3656319179543465	2019-04-16	500
42	XGBoost_3_AutoML_20190416_015849	28664642725816670	169306357.60601747	28664642725816670	103296865.01052631	0.3474103924403393	2019-04-16	500
43	GBM_grid_1_AutoML_20190416_021340_model_14	28832520217998970	169801414.06360245	28832520217998970	100516950.00428955	0.3364121249297233	2019-04-16	500
44	XGBoost_grid_1_AutoML_20190416_021340_model_12	28884359675879788	169953992.82123318	28884359675879788	103624340.4550952	0.34657457437351624	2019-04-16	500
45	XGBoost_3_AutoML_20190416_020809	29085379692815670	170544362.82919368	29085379692815670	104097740.65845464	0.3480326028133832	2019-04-16	500
46	XGBoost_grid_1_AutoML_20190416_021340_model_4	29246190974081480	171015177.61322087	29246190974081480	104354659.0387458	0.3471464006335264	2019-04-16	500
47	GBM_grid_1_AutoML_20190416_015849_model_11	29290313638464400	171144131.18323514	29290313638464400	105498600.38741018	0.3511664443999445	2019-04-16	500
48	GBM_grid_1_AutoML_20190416_015849_model_6	29408322597900150	171488549.46584672	29408322597900150	102961153.8471249	0.3504176717388723	2019-04-16	500
49	GBM_grid_1_AutoML_20190416_020809_model_1	29441191664619380	171584357.28416324	29441191664619380	103396260.90152606	0.3426773232635252	2019-04-16	500
50	GBM_grid_1_AutoML_20190416_020809_model_4	29931520400766628	173007284.24192616	29931520400766628	107391733.57712854		2019-04-16	500
51	GBM_grid_1_AutoML_20190416_015849_model_9	30057834252932668	173371953.47844663	30057834252932668	102872059.59500144	0.3418653558395161	2019-04-16	500
52	XGBoost_grid_1_AutoML_20190416_021340_model_9	30252689366868012	173933002.52358094	30252689366868012	101734577.45487122	0.33730155190157823	2019-04-16	500
53	XGBoost_grid_1_AutoML_20190416_020809_model_6	30568125576670464	174837426.13259462	30568125576670464	100303077.5131019	0.33426659012493537	2019-04-16	500
54	XGBoost_grid_1_AutoML_20190416_020809_model_8	30837961061819440	175607406.05629206	30837961061819440	102545160.8488242	0.3474454962700268	2019-04-16	500
55	GBM_grid_1_AutoML_20190416_020809_model_2	31046607464839012	176200475.21172866	31046607464839012	104285464.23909764	0.3461128962964271	2019-04-16	500
56	XGBoost_grid_1_AutoML_20190416_015849_model_6	31255604065618384	176792545.27727798	31255604065618384	98474533.51041432	0.3276404595806521	2019-04-16	500
57	XGBoost_grid_1_AutoML_20190416_021340_model_1	31655113752904720	177918840.35397914	31655113752904720	107453446.15319148	0.35440161149597976	2019-04-16	500
58	XGBoost_grid_1_AutoML_20190416_021340_model_11	31820119305873490	178381947.8138791	31820119305873490	103287060.16035834	2.1680413143117208	2019-04-16	500
59	XGBoost_grid_1_AutoML_20190416_021340_model_3	31864613114687650	178506619.24614352	31864613114687650	106656095.85890256	0.3506573501920822	2019-04-16	500
60	GBM_grid_1_AutoML_20190416_020809_model_7	32012409254671496	178920119.75926992	32012409254671496	112712050.01559491		2019-04-16	500
61	GBM_grid_1_AutoML_20190416_021340_model_3	32152436247443828	179311004.2564143	32152436247443828	110644817.16134046		2019-04-16	500
62	GBM_grid_1_AutoML_20190416_015849_model_3	32558287322821108	180439151.30265132	32558287322821108	112373045.5310324		2019-04-16	500
63	GBM_grid_1_AutoML_20190416_021340_model_8	32745711624916960	180957761.99134693	32745711624916960	112167299.67828412		2019-04-16	500
64	GBM_grid_1_AutoML_20190416_021340_model_17	32872039617659396	181306479.80052835	32872039617659396	107872216.80728096	0.3615752164938271	2019-04-16	500
65	GBM_grid_1_AutoML_20190416_020809_model_5	32985173396975956	181618207.77933016	32985173396975956	112538285.44875485	0.3896586371006099	2019-04-16	500
66	GBM_grid_1_AutoML_20190416_015849_model_13	33738829909624892	183681327.0575561	33738829909624892	113382174.31065664		2019-04-16	500
67	GBM_grid_1_AutoML_20190416_021340_model_11	33776648562943710	183784244.5993228	33776648562943710	114564769.50180468	0.40004936243263706	2019-04-16	500
68	XGBoost_grid_1_AutoML_20190416_015849_model_5	33966688651325416	184300538.93389845	33966688651325416	104352528.27278836	2.172881641884881	2019-04-16	500
69	GBM_grid_1_AutoML_20190416_021340_model_2	34482983375350828	185695943.3465115	34482983375350828	117277179.5962654		2019-04-16	500
70	GBM_5_AutoML_20190416_021340	34538689210600616	185845874.881851	34538689210600616	111112223.00821821	0.3605133175542463	2019-04-16	500
71	GBM_grid_1_AutoML_20190416_021340_model_15	34600596949164356	186012356.97975647	34600596949164356	114962231.99415012	0.3789008835503118	2019-04-16	500
72	GBM_grid_1_AutoML_20190416_021340_model_4	34671100241010244	186201772.92660305	34671100241010244	115758599.15593033	0.40242793431512697	2019-04-16	500
73	GBM_grid_1_AutoML_20190416_015849_model_1	34734715309091520	186372517.57995737	34734715309091520	115267205.42110462	0.41537297463641937	2019-04-16	500
74	GBM_5_AutoML_20190416_020809	34737944337337696	186381180.21232104	34737944337337696	111294493.87105602	0.36222999707383213	2019-04-16	500
75	GBM_5_AutoML_20190416_015849	34827163429201804	186620372.49239916	34827163429201804	111692434.31671734	0.3621448348433773	2019-04-16	500
76	DeepLearning_1_AutoML_20190416_021340	35595099347654640	188666635.49142608	35595099347654640	119520036.18148968		2019-04-16	500
77	DeepLearning_grid_1_AutoML_20190416_015849_model_3	35628622684222636	188755457.3627545	35628622684222636	119267856.53622822	0.4183762499070847	2019-04-16	500
78	GBM_grid_1_AutoML_20190416_021340_model_16	35663834881531904	188848708.97502032	35663834881531904	119902352.88373476		2019-04-16	500
79	DeepLearning_grid_1_AutoML_20190416_021340_model_2	35808317806942350	189230858.4954958	35808317806942350	118441684.36023596		2019-04-16	500
80	GBM_grid_1_AutoML_20190416_015849_model_5	36129171968493640	190076752.83551547	36129171968493640	120382051.66094068	0.4149424823328258	2019-04-16	500
81	DeepLearning_1_AutoML_20190416_020809	36166709522931960	190175470.350232	36166709522931960	118219966.64228489	0.3982522032421204	2019-04-16	500
82	DeepLearning_grid_1_AutoML_20190416_021340_model_6	36402500461789700	190794393.16130257	36402500461789700	118021989.91975611	0.4115798415963096	2019-04-16	500
83	GBM_grid_1_AutoML_20190416_021340_model_6	36719967222451000	191624547.54663092	36719967222451000	117048767.22912458	0.4134314251162081	2019-04-16	500
84	DeepLearning_grid_1_AutoML_20190416_020809_model_1	36853149944821960	191971742.5685925	36853149944821960	121679042.76206385		2019-04-16	500
85	DeepLearning_1_AutoML_20190416_015849	37130153721913030	192691862.1060916	37130153721913030	119390220.25326052		2019-04-16	500
86	GBM_grid_1_AutoML_20190416_020809_model_11	37280230266290820	193080890.47415027	37280230266290820	117701054.40458056	0.3814093544496499	2019-04-16	500
87	GBM_grid_1_AutoML_20190416_021340_model_5	37387395898908760	193358206.18455467	37387395898908760	124224337.86216621	0.4476435810811893	2019-04-16	500
88	XGBoost_grid_1_AutoML_20190416_021340_model_5	37568216817040930	193825222.3448768	37568216817040930	110076632.38969764	3.0696036677343503	2019-04-16	500
89	XGBoost_grid_1_AutoML_20190416_020809_model_5	38086467526589280	195157545.4000928	38086467526589280	115218830.11791714	3.0677499957995487	2019-04-16	500
90	DeepLearning_grid_1_AutoML_20190416_015849_model_1	38181519300856110	195400919.39613825	38181519300856110	124307340.17945512		2019-04-16	500
91	DeepLearning_grid_1_AutoML_20190416_021340_model_1	38652330704461830	196601960.07278728	38652330704461830	119486570.63808572		2019-04-16	500
92	DeepLearning_grid_1_AutoML_20190416_020809_model_3	38689752618325064	196697108.82045284	38689752618325064	125689464.10320136		2019-04-16	500
93	DeepLearning_grid_1_AutoML_20190416_015849_model_4	39126230843777730	197803515.751813	39126230843777730	125113580.41558827		2019-04-16	500
94	DeepLearning_grid_1_AutoML_20190416_015849_model_2	39184171037704500	197949920.52967465	39184171037704500	123575929.25352515		2019-04-16	500
95	DeepLearning_grid_1_AutoML_20190416_020809_model_2	39583937874646320	198957125.71970457	39583937874646320	122474280.91900894		2019-04-16	500
96	GBM_grid_1_AutoML_20190416_021340_model_1	40144916725674470	200361964.26885635	40144916725674470	123884541.23955688	0.4452419795524665	2019-04-16	500
97	DeepLearning_grid_1_AutoML_20190416_021340_model_3	40483442684282670	201204976.78805733	40483442684282670	125028501.71115029	0.4051530653073521	2019-04-16	500
98	GBM_grid_1_AutoML_20190416_015849_model_2	40517783090088110	201290295.5685845	40517783090088110	125542813.86608344		2019-04-16	500
99	GBM_grid_1_AutoML_20190416_021340_model_19	40959382450195620	202384244.5700643	40959382450195620	130689618.9160578		2019-04-16	500
100	DeepLearning_grid_1_AutoML_20190416_020809_model_4	41147554028435064	202848598.78351405	41147554028435064	128741191.89599232	0.4473386933276268	2019-04-16	500
101	DeepLearning_grid_1_AutoML_20190416_021340_model_4	41450203932335660	203593231.54843745	41450203932335660	122674753.85159072	0.41471260492153494	2019-04-16	500
102	GBM_grid_1_AutoML_20190416_021340_model_13	42112087578729510	205212298.79987583	42112087578729510	125506755.90958166		2019-04-16	500
103	GBM_grid_1_AutoML_20190416_021340_model_10	42262114581365550	205577514.77573016	42262114581365550	134519155.92424047		2019-04-16	500
104	DeepLearning_grid_1_AutoML_20190416_021340_model_7	43767942129380160	209207892.12976685	43767942129380160	132579427.81451428	0.4541206095649007	2019-04-16	500
105	DeepLearning_grid_1_AutoML_20190416_021340_model_5	44521576639132600	211001366.43901765	44521576639132600	128582524.11424474		2019-04-16	500
106	GBM_grid_1_AutoML_20190416_020809_model_3	52084985892576930	228221352.8410015	52084985892576930	143565390.35372362	0.5082964036929806	2019-04-16	500
107	DeepLearning_grid_1_AutoML_20190416_015849_model_5	52579041440034500	229301202.43913788	52579041440034500	169670497.97604132	0.6270976247746434	2019-04-16	500
108	GBM_grid_1_AutoML_20190416_020809_model_10	53534958462981370	231376227.0912493	53534958462981370	146194269.00201336	0.518590545855089	2019-04-16	500
109	GBM_grid_1_AutoML_20190416_020809_model_13	56822514259445430	238374734.94362912	56822514259445430	152776734.66150075	0.5517142785052354	2019-04-16	500
110	GBM_grid_1_AutoML_20190416_015849_model_10	58246382415426400	241342873.13990942	58246382415426400	153255150.72056198	0.5427086649682205	2019-04-16	500
111	GBM_grid_1_AutoML_20190416_015849_model_12	59601545243725860	244134277.07662407	59601545243725860	160670829.04590026	0.5960430592393098	2019-04-16	500
112	GBM_grid_1_AutoML_20190416_021340_model_18	61863744563783070	248724233.9696377	61863744563783070	161562976.07291737	0.5839031645887277	2019-04-16	500
113	GBM_grid_1_AutoML_20190416_020809_model_6	65073732625540140	255095536.27129608	65073732625540140	168402402.76986253	0.6159169770584755	2019-04-16	500
114	GBM_grid_1_AutoML_20190416_020809_model_8	82719326417047070	287609677.19645154	82719326417047070	194366777.62034872	0.6883429221969091	2019-04-16	500
115	GBM_grid_1_AutoML_20190416_021340_model_20	91527814027623710	302535640.9212371	91527814027623710	206916682.32586908	0.7258822530828132	2019-04-16	500
