	model_id	mean_residual_deviance	rmse	mse	mae	rmsle	system_date	runtime
0	GBM_1_AutoML_20190416_015849	25146739460939084	158577235.00218776	25146739460939084	96028946.2887346	0.3325625379269681	2019-04-16	2000
1	XGBoost_grid_1_AutoML_20190416_030706_model_15	25278240654582092	158991322.57636607	25278240654582092	93743240.60828668	0.3242221755141184	2019-04-16	2000
2	GBM_grid_1_AutoML_20190416_030706_model_65	25279444873904156	158995109.5911574	25279444873904156	95620994.82447384	0.3286740806521549	2019-04-16	2000
3	XGBoost_grid_1_AutoML_20190416_021340_model_7	25287291314391604	159019782.77683443	25287291314391604	94756821.10638298	0.3265109694820456	2019-04-16	2000
4	XGBoost_grid_1_AutoML_20190416_030706_model_17	25287397868345760	159020117.81012413	25287397868345760	93377506.89630459	0.3263922157640705	2019-04-16	2000
5	XGBoost_grid_1_AutoML_20190416_030706_model_8	25339304101179668	159183240.64165697	25339304101179668	93305215.2618141	0.3282217116619308	2019-04-16	2000
6	XGBoost_1_AutoML_20190416_023643	25390018062395390	159342455.30427662	25390018062395390	95017086.1643897	0.32542248561132664	2019-04-16	2000
7	XGBoost_1_AutoML_20190416_015849	25430683883193010	159470009.35346118	25430683883193010	94624321.24165732	0.3254745865205184	2019-04-16	2000
8	XGBoost_grid_1_AutoML_20190416_023643_model_1	25436478336570268	159488176.16541442	25436478336570268	93492665.80694291	0.3256016072894893	2019-04-16	2000
9	XGBoost_1_AutoML_20190416_021340	25444619375119092	159513696.5126164	25444619375119092	94909111.0844345	0.3247477245623427	2019-04-16	2000
10	XGBoost_grid_1_AutoML_20190416_022142_model_9	25445077879451860	159515133.70038548	25445077879451860	93976353.33303472	0.32974511411594026	2019-04-16	2000
11	GBM_grid_1_AutoML_20190416_030706_model_41	25470423423741584	159594559.50545928	25470423423741584	94779679.1114534	0.32719620110517544	2019-04-16	2000
12	GBM_grid_1_AutoML_20190416_023844_model_54	25498712284597024	159683162.18248254	25498712284597024	94706721.71116844	0.3302337330210292	2019-04-16	2000
13	XGBoost_grid_1_AutoML_20190416_030706_model_3	25503766563972504	159698987.36051053	25503766563972504	93994362.22709966	0.3267050168345966	2019-04-16	2000
14	GBM_1_AutoML_20190416_030706	25524847720216708	159764976.51305404	25524847720216708	97018563.6605404	0.3317675981579662	2019-04-16	2000
